group,domain,status,decision,crawlable,crawl_delay,n_disallow,n_sitemaps,reason,note
state,mahadbt.maharashtra.gov.in,200,ALLOW_FULL,True,,0,1,"robots.txt present, no restrictions",Maharashtra MahaDBT
state,mahadbt2.maharashtra.gov.in,200,ALLOW_FULL,True,,0,1,"robots.txt present, no restrictions",MahaDBT (redirect target)
state,medhasoft.bih.nic.in,ERR:ConnFail,UNREACHABLE,False,,0,0,could not retrieve robots.txt (ERR:ConnFail); failing closed,Bihar
state,postmatric-scholarship.cg.nic.in,404,ALLOW_NO_ROBOTS,True,,0,0,no robots.txt (404),Chhattisgarh
state,rajasthan.gov.in,200,ALLOW_WITH_EXCLUSIONS,True,,116,1,116 disallowed path prefix(es),Rajasthan state portal
state,rajshaladarpan.rajasthan.gov.in,404,ALLOW_NO_ROBOTS,True,,0,0,no robots.txt (404),Rajasthan Shala Darpan
state,scholarship.odisha.gov.in,200,ALLOW_NO_ROBOTS,True,,0,0,"soft-404: robots.txt served HTML, treated as absent",Odisha
state,scholarship.rajasthan.gov.in,200,ALLOW_FULL,True,,0,0,"robots.txt present, no restrictions",Rajasthan scholarship (alias)
state,scholarship.up.gov.in,404,ALLOW_NO_ROBOTS,True,,0,0,no robots.txt (404),Uttar Pradesh
state,scholarshipportal.mp.nic.in,ERR:ConnFail,UNREACHABLE,False,,0,0,could not retrieve robots.txt (ERR:ConnFail); failing closed,Madhya Pradesh (NXDOMAIN - retest)
state,scholarships.punjab.gov.in,200,ALLOW_FULL,True,,0,0,"robots.txt present, no restrictions",Punjab
state,sje.rajasthan.gov.in,200,ALLOW_FULL,True,,0,0,"robots.txt present, no restrictions",Rajasthan SJE scholarships
state,sjmsnew.rajasthan.gov.in,200,ALLOW_FULL,True,,0,0,"robots.txt present, no restrictions",Rajasthan SJMS scholarship portal
state,ssp.postmatric.karnataka.gov.in,404,ALLOW_NO_ROBOTS,True,,0,0,no robots.txt (404),Karnataka SSP
state,svmcm.wbhed.gov.in,ERR:ConnFail,UNREACHABLE,False,,0,0,could not retrieve robots.txt (ERR:ConnFail); failing closed,West Bengal Swami Vivekananda Merit-cum-Means
state,telanganaepass.cgg.gov.in,404,ALLOW_NO_ROBOTS,True,,0,0,no robots.txt (404),Telangana ePASS
state,tnesevai.tn.gov.in,404,ALLOW_NO_ROBOTS,True,,0,0,no robots.txt (404),Tamil Nadu e-Sevai
state,uk.gov.in,200,ALLOW_NO_ROBOTS,True,,0,0,"soft-404: robots.txt served HTML, treated as absent",Uttarakhand
state,www.digitalgujarat.gov.in,404,ALLOW_NO_ROBOTS,True,,0,0,no robots.txt (404),Gujarat Digital Gujarat
